"AllTags","Type","Team","Contact","ResourceId","Finding","FindingLink","DateIdentified"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/scmdevrgp001/providers/microsoft.web/sites/scmfourkitesfuncappdev001","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fscmdevrgp001%2fproviders%2fmicrosoft.web%2fsites%2fscmfourkitesfuncappdev001","3/22/2022 8:30:10 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/test-rest-poc-fna","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2ftest-rest-poc-fna","3/17/2022 8:30:07 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/test-rest-apim","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2ftest-rest-apim","3/14/2022 8:30:06 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/sninudevrgp002/providers/microsoft.web/sites/hdtstfnc001","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsninudevrgp002%2fproviders%2fmicrosoft.web%2fsites%2fhdtstfnc001","5/12/2022 8:31:03 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/scm-snoint-poc-apex","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2fscm-snoint-poc-apex","2/25/2022 8:30:21 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/scm-snoint-poc-test","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2fscm-snoint-poc-test","2/24/2022 8:30:18 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/aktest-publisher","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2faktest-publisher","1/11/2022 8:30:15 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/gop-test-fna","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2fgop-test-fna","3/31/2022 8:30:41 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/appsapidevrgp001/providers/microsoft.web/sites/appsapi-poc-fna-002","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fappsapidevrgp001%2fproviders%2fmicrosoft.web%2fsites%2fappsapi-poc-fna-002","6/2/2022 8:30:58 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/appsapidevrgp001/providers/microsoft.web/sites/appsapi-poc-fna-001","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fappsapidevrgp001%2fproviders%2fmicrosoft.web%2fsites%2fappsapi-poc-fna-001","6/2/2022 8:30:58 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/sncapidevrgp001/providers/microsoft.web/sites/snftdevfnc001","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsncapidevrgp001%2fproviders%2fmicrosoft.web%2fsites%2fsnftdevfnc001","6/20/2022 8:31:01 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/sncapidevrgp001/providers/microsoft.web/sites/snftdevfnc002","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsncapidevrgp001%2fproviders%2fmicrosoft.web%2fsites%2fsnftdevfnc002","6/21/2022 8:30:58 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/aktest-subscriber","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2faktest-subscriber","1/19/2022 8:30:48 PM"
"System.Object[]","","","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourcegroups/snintsbxrgp001/providers/microsoft.web/sites/snip-pe-002-sbx","FTPS should be required in function apps","portal.azure.com/#blade/Microsoft_Azure_Security/RecommendationsBlade/assessmentKey/972a6579-f38f-c0b9-1b4b-a5bbeba3ab5b/resourceId/%2fsubscriptions%2f61471429-89d6-4df8-b904-6688f7fe4605%2fresourcegroups%2fsnintsbxrgp001%2fproviders%2fmicrosoft.web%2fsites%2fsnip-pe-002-sbx","1/25/2022 8:30:07 PM"
